,Text,Speaker
0, There's nothing to tell! He's just some guy I work with!,monica
1," C'mon, you're going out with the guy! There's gotta be something wrong with him!",joey
2, So does he have a hump? A hump and a hairpiece?,chandler
3," Wait, does he eat chalk?",phoebe
4," Just, 'cause, I don't want her to go through what I went through with Carl- oh!",phoebe
5," Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having s*x.",monica
6, Sounds like a date to me.,chandler
7," Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realise I am totally naked.",chandler
8," Then I look down, and I realise there's a phone... there.",chandler
9, Instead of...?,joey
10, That's right.,chandler
11, Never had that dream.,joey
12, No.,phoebe
13," All of a sudden, the phone starts to ring. And it turns out it's my mother, which is very weird, because- she never calls me!",chandler
14,  Hi.,ross
15," This guy says hello, I wanna kill myself.",joey
16," Are you okay, sweetie?",monica
17," I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",ross
18, Cookie?,chandler
19,  Carol moved her stuff out today.  Let me get you some coffee.,monica
20, Ooh! Oh! ,phoebe
21," No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay? I'll be fine, alright? Really, everyone. I hope she'll be very happy.",ross
22, No you don't.,monica
23," No I don't, to hell with her, she left me!",ross
24, And you never knew she was a lesbian...,joey
25," No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",ross
26, Sometimes I wish I was a lesbian...  Did I say that out loud?,chandler
27," Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",joey
28," Strip joint! C'mon, you're single! Have some hormones!",joey
29," I don't want to be single, okay? I just... I just- I just wanna be married again!",ross
30, And I just want a million dollars! ,chandler
31, Rachel?!,monica
32," Oh God Monica hi! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",rachel
33,"  De-caff.  Okay, everybody, this is Rachel, another Lincoln High survivor.  This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? ",monica
34," Hi, sure!",rachel
35, Hi. ,ross
36," So you wanna tell us now, or are we waiting for four wet bridesmaids?",monica
37," Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realised that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, he always looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'.  So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",rachel
38, Who wasn't invited to the wedding.,monica
39," Ooh, I was kinda hoping that wouldn't be an issue...",rachel
40," Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it. ",monica
41,"  Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me! ",rachel
42,"  Ooh, she should not be wearing those pants.",chandler
43, I say push her down the stairs.,joey
44," C'mon Daddy, listen to me! All of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",rachel
45, You can see where he'd have trouble.,ross
46," Look Daddy, it's my life. Well maybe I'll just stay here with Monica. ",rachel
47," Well, I guess we've established who's staying here with Monica...",monica
48," Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",rachel
49," Just breathe, breathe.. that's it. Just try to think of nice calm things...",monica
50,"  Raindrops on roses and rabbits and kittens, ..bluebells and sleighbells and- something with mittens... La la la la...",phoebe
51, I'm all better now.,rachel
52,  I helped!,phoebe
53," Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.",monica
54,"  And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",joey
55," Joey, stop hitting on her! It's her wedding day!",monica
56," What, like there's a rule or something?",joey
57," Please don't do that again, it's a horrible sound.",chandler
58, Buzz him in!,monica
59, Who's Paul?,joey
60," Paul the Wine Guy, Paul?",ross
61, Maybe.,monica
62, Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,joey
63, He finally asked you out?,ross
64, Yes!,monica
65," Ooh, this is a Dear Diary moment.",chandler
66," Rach, wait, I can cancel...",monica
67," Please, no, go, that'd be fine!",rachel
68,"  Are, are you okay? I mean, do you want me to stay?",monica
69,  That'd be good...,ross
70,  Really?,monica
71,"  No, go on! It's Paul the Wine Guy!",ross
72," Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",monica
73," I'm sorry, I didn't catch your name. Paul, was it?",chandler
74,  Two seconds.,monica
75," Ooh, I just pulled out four eyelashes. That can't be good.",phoebe
76," So Rachel, what're you, uh... what're you up to tonight?",ross
77," Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",rachel
78," Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",ross
79,"  Yes, and we're very excited about it. ",chandler
80," Well actually thanks, but I think I'm just gonna hang out here tonight..",rachel
81," Okay, sure.",ross
82," Hey Pheebs, you wanna help?",joey
83," Oh, I wish I could, but I don't want to.",phoebe
84,"  I'm supposed to attach a brackety thing to the side things, using a bunch of these little whim guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",ross
85, What's this?,joey
86, I have no idea.,chandler
87, Done with the bookcase!,joey
88, All finished!,chandler
89,"  This was Carol's favourite beer. She always drank it out of the can, I should have known.",ross
90," Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",joey
91, You guys.,ross
92," Oh, man.",chandler
93, You got screwed.,joey
94, Oh my God!,monica
95," My brother's going through that right now, he's such a mess. How did you get through it?",monica
96, -leg?,monica
97, You actually broke her watch?,monica
98," Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",rachel
99," You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",ross
100," What are you talking about? 'One woman'? That's like saying there's only one flavour of ice cream for you. Lemme tell you something, Ross. There's lots of flavours out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",joey
101, I honestly don't know if I'm hungry or horny.,ross
102, Stay out of my freezer!,chandler
103," What?..... What, you wanna spell it out with noodles?",monica
104," Oh, so there is gonna be a fifth date?",monica
105," Yeah... yeah, I think there is. -What were you gonna say?",monica
106,"  Oh God, oh God, I am sorry... I am so sorry...",monica
107, Being spit on is probably not what you need right now. Um... how long?,monica
108, Wow! I'm glad you smashed her watch! ,monica
109," ...Yeah. Yeah, I do.",monica
110, Oh...see... but Joanie loved Chachi! That's the difference!,rachel
111,"  Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you? Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? ",ross
112," Isn't this amazing? I mean, I have never made coffee before in my entire life.",rachel
113, That is amazing.,chandler
114," Congratulations. And while you're on a roll, if you feel like you gotta make like a Western omelette or something...  Although actually I'm really not that hungry...",joey
115," Morning, Paul.",joey
116," Hello, Paul.",rachel
117," Hi, Paul, is it?",chandler
118, I had a really great time last night.,monica
119, We'll talk later.,monica
120, That wasn't a real date?! What the hell do you do on a real date?,joey
121," Shut up, and put my table back.",monica
122," All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference... ",chandler
123," So, like, you guys all have jobs?",rachel
124," Yeah, we all have jobs. See, that's how we buy stuff.",monica
125," Yeah, I'm an actor.",joey
126, Wow! Would I have seen you in anything?,rachel
127, I doubt it. Mostly regional work.,joey
128," Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio.",monica
129," 'Look, Gippetto, I'm a real live boy.'",chandler
130, I will not take this abuse. ,joey
131," You're right, I'm sorry.  'Once I was a wooden boy, a little wooden boy..'",chandler
132, So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,monica
133, I can see that. You look like you slept with a hanger in your mouth.,rachel
134," I know, he's just so, so... Do you remember you and Tony DeMarco?",monica
135," Oh, yeah.",rachel
136," Well, it's like that. With feelings.",monica
137, Oh wow. Are you in trouble.,rachel
138," Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",monica
139," Oh, look, wish me luck!",rachel
140, What for?,monica
141, I'm gonna go get one of those job things.,rachel
142," Hey, welcome back! How was Florida?",monica
143, How do you do that?,monica
144, You know Paul?,monica
145, You mean you know Paul like I know Paul?,monica
146, Of course it was a line!,joey
147," Why?! Why? Why, why would anybody do something like that?",monica
148, I assume we're looking for an answer more sophisticated than 'to get you into bed'.,ross
149, Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,monica
150," All right, c'mere, gimme your feet. ",phoebe
151," I just thought he was nice, y'know?",monica
152,  I can't believe you didn't know it was a line!,joey
153, Guess what?,rachel
154, You got a job?,ross
155, Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,rachel
156, And yet you're surprisingly upbeat.,chandler
157," You would be too if you found John and David boots on sale, fifty percent off!",rachel
158," Oh, how well you know me...",chandler
159," They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",rachel
160, How'd you pay for them?,monica
161," Uh, credit card.",rachel
162, And who pays for that?,monica
163, Um... my... father.,rachel
164," C'mon, you can't live off your parents your whole life.",monica
165, I know that. That's why I was getting married.,rachel
166," Give her a break, it's hard being on your own for the first time. ",phoebe
167, Thank you.,rachel
168," You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windows outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",phoebe
169, The word you're looking for is 'Anyway'...,ross
170, You ready?,monica
171, I don't think so.,rachel
172," C'mon, cut. Cut, cut, cut,...",ross
173, Welcome to the real world! It sucks. You're gonna love it!,monica
174," Well, that's it. ",monica
175,  You gonna crash on the couch?,rachel
176," No. No, I gotta go home sometime.",ross
177, You be okay?,monica
178, Yeah.,ross
179," Hey Mon, look what I just found on the floor.  What?",rachel
180," That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody. ",monica
181," Mmm.  Oh, no-",ross
182, Sorry-,rachel
183," No no no, go-",ross
184," No, you have it, really, I don't want it-",rachel
185, Split it?,ross
186, Okay.,rachel
187," Okay.  You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",ross
188, I knew.,rachel
189, You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,ross
190, I did.,rachel
191," Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",ross
192," Yeah, maybe...",rachel
193," Okay... okay, maybe I will...",ross
194, Goodnight.,rachel
195, Goodnight.,ross
196," See ya.... Waitwait, what's with you?",monica
197, I just grabbed a spoon. ,ross
198, I can't believe what I'm hearing here.,joey
199,  I can't believe what I'm hearing here...,phoebe
200, What? I-I said you had a-,monica
201,  What I said...,phoebe
202,  Would you stop?,monica
203," Oh, was I doing it again?",phoebe
204,  Would anybody like more coffee?,rachel
205," Did you make it, or are you just serving it?",chandler
206, I'm just serving it.,rachel
207," Kids, new dream... I'm in Las Vegas. I'm Liza Minelli-",chandler
208," What you guys don't understand is, for us, kissing is as important as any part of it.",monica
209," Yeah, right!.......Y'serious?",joey
210," Oh, yeah! ",phoebe
211, Everything you need to know is in that first kiss.,rachel
212, Absolutely.,monica
213," Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",chandler
214," Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",ross
215," The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",chandler
216," Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",rachel
217, ....Are we still talking about s*x?,joey
218," No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",ross
219, Does she.,ross
220," Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",ross
221,  No. No.,ross
222," Okay, okay, yes, it is.  How about I'll, uh, catch up with you in the Ice Age.",ross
223,Hi.,ross
224," You look great. I, uh... I hate that.",ross
225," Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",ross
226," Well... you never know. How's, um.. how's the family?",ross
227," Why- why are you here, Carol?",ross
228, Pregnant?!,ross
229," Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",chandler
230,...Then I've already seen this one! ,phoebe
231,  Are you through with that?,monica
232," Yeah, sorry, the swallowing slowed me down.",joey
233, Whose little ball of paper is this?!,monica
234," Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead.",chandler
235," She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!",phoebe
236," Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",monica
237," Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",chandler
238," Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.",phoebe
239," Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.",joey
240," That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born. ",monica
241,"  Ew, ew, ew, ew ew ew ew ew!",chandler
242, What? ,monica
243, Ugly Naked Guy got a Thighmaster!,chandler
244, Has anybody seen my engagement ring?,rachel
245," Yeah, it's beautiful.",phoebe
246," Oh God, oh God, oh God oh God oh God oh God.... ",rachel
247," No, look, don't touch that!",phoebe
248," Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...",rachel
249," Easy Rach, we'll find it.  Won't we!",monica
250," Alright, when'd'ya have it on last?",joey
251, Doy! Probably right before she lost it!,phoebe
252, You don't get a lot of 'doy' these days...,chandler
253," I know I had it this morning, and I know I had it when I was in the kitchen with...",rachel
254, ...Dinah?,chandler
255,"  Ohhhhh, don't be mad...",rachel
256, You didn't.,monica
257," Oh, I am sorry...",rachel
258, I gave you one job! ,monica
259," Oh, but look how straight those noodles are!",rachel
260," Now, Monica, you know that's not how you look for an engagement ring in a lasagne...",chandler
261,  I just... can't do it.,monica
262, Boys? We're going in.,chandler
263, .....Hi.,ross
264, Wow. That is not a happy hi.,monica
265, Carol's pregnant. ,ross
266,  Ooh! I found it!,phoebe
267, W-w-wh-... wha-... w-w-w-...,monica
268," Yeah. Do that for another two hours, you might be where I am right about now. ",ross
269," Kinda puts that whole pillow thing in perspective, huh, Mon?",chandler
270," Well now, how-how do you fit into this whole thing?",rachel
271," Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.",ross
